,Project,Month Year,Minutes Saved,Business Case,Total Time Saved (hrs),Tracking Cadence,Tracking Cadence-1,Event Count,Effort,Manual Time (mins),Dev Cost (mins)
67,Humanity Schedule Bot,1/1/2020,17.5,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,7.0,Humanity Schedule Bot,2.5,1440
68,Mail Alias,5/1/2020,1024.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,128.0,Mail Alias,8.0,
69,Rehire Associate Check,4/1/2021,96.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,8.0,Rehire Associate Check,12.0,1440
70,MPaaS+ General Support Request,5/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
71,RingCentral User Deployment,2/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
72,global_wifi,6/1/2020,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
73,ggroupMembership,12/1/2020,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
74,sn_tableau_ldap,8/1/2021,5677.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,811.0,sn_tableau_ldap,7.0,0
75,Email Alias Termination,1/1/2020,952.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
76,RingCentral User Deployment,11/1/2020,0.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,0.0,RingCentral User Deployment,5.0,6660
77,Support Chat Notification Bot,2/1/2021,170.0,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,340.0,Support Chat Notification Bot,0.5,0
78,IT Manager Check,4/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
79,global_wifi,12/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
80,LDAP POSIX Group,2/1/2020,3228.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,269.0,LDAP POSIX Group,12.0,
81,sn_tableau_ldap,1/1/2021,4970.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,710.0,sn_tableau_ldap,7.0,0
82,MPaaS+ Migration Support,7/1/2021,8.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
83,GSS Salesforce Account Create,10/1/2020,0.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,0.0,GSS Salesforce Account Create,25.0,0
84,Google Calendar Creation,1/1/2020,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
85,Bulk Email Alias Deletions,9/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
86,Support Chat Notification Bot,9/1/2021,164.5,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,329.0,Support Chat Notification Bot,0.5,0
87,ggroupMembership,7/1/2020,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
88,DBA - Redshift Account Deployment,4/1/2021,675.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,90.0,DBA - Redshift Account Deployment,7.5,0
89,LDAP lookup module,3/1/2021,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
90,sn_tableau_ldap,5/1/2021,4123.0,Fully orchestrated Tableau LDAP requests,1080.8,Monthly,Monthly,589.0,sn_tableau_ldap,7.0,0
91,Windows AD Account Mgmt,6/1/2020,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
92,ggroupMembership,10/1/2021,336.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
93,LDAP lookup module,11/1/2021,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
94,Humanity Schedule Bot,3/1/2020,20.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,8.0,Humanity Schedule Bot,2.5,1440
95,GSS Salesforce Account Create,6/1/2020,0.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,0.0,GSS Salesforce Account Create,25.0,0
96,RingCentral User Termination,1/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
97,RingCentral User Termination,5/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
98,Windows AD Account Mgmt,9/1/2021,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
99,LDAP POSIX Group,10/1/2021,5220.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,435.0,LDAP POSIX Group,12.0,
100,RHEL 8 Deployment,4/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
101,ALGE,8/1/2020,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
102,MPaaS+ General Support Request,4/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ general support/issues,28,,Monthly,0.0,,0.0,
103,LDAP POSIX Group,5/1/2020,4500.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,375.0,LDAP POSIX Group,12.0,
104,Pushmail Ticket Deflection,7/1/2021,98.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,14.0,Pushmail Ticket Deflection,7.0,0
105,Rehire Associate Check,5/1/2021,336.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,28.0,Rehire Associate Check,12.0,1440
106,ALGE,9/1/2021,60.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,2.0,ALGE,30.0,
107,Google Alias,8/1/2021,532.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
108,ggroupMembership,1/1/2021,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
109,NHO Prep Tasks,10/1/2021,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
110,Tableau ServiceGroups,12/1/2020,232.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,29.0,Tableau ServiceGroups,8.0,0
111,NGDC Service Catalog Item,1/1/2020,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
112,NGDC Service Catalog Item,8/1/2021,100.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
113,LDAP POSIX Group,1/1/2021,2940.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,245.0,LDAP POSIX Group,12.0,
114,Support Chat Notification Bot,12/1/2020,145.5,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,291.0,Support Chat Notification Bot,0.5,0
115,global_wifi,1/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
116,MPaaS+ Migration Support,8/1/2021,72.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
117,Google Group Management,11/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
118,NGDC Service Catalog Item,10/1/2021,80.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
119,IT Hire Check,12/1/2021,240.0,Emails IT S&E content to new IT hires,64.5,,Daily,48.0,IT Hire Check,5.0,0
120,ServiceNow Lookup module,10/1/2020,30.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
121,Bulk Email Alias Deletions,7/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
122,Bulk Email Alias Deletions,10/1/2020,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
123,SFDC Account Terminations,12/1/2020,0.0,GSS SFDC account terminations for departed users,WIP,TBD,TBD,0.0,,0.0,
124,Pushmail Ticket Deflection,5/1/2021,126.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,18.0,Pushmail Ticket Deflection,7.0,0
125,Humanity Schedule Bot,10/1/2020,37.5,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,15.0,Humanity Schedule Bot,2.5,1440
126,Windows AD Account Mgmt,4/1/2021,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
127,ggroupMembership,3/1/2021,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
128,ggroupMembership,4/1/2020,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
129,ggroupMembership,1/1/2020,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
130,Email Alias Termination,4/1/2020,1656.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
131,Google Alias,1/1/2020,0.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
132,Humanity Schedule Bot,5/1/2021,60.0,"Google Hangouts Chat bot identifies on-shift support (who is the Queue Manager, CLT Agent on call...)",13.46,daily,daily,24.0,Humanity Schedule Bot,2.5,1440
133,Mail Alias,7/1/2021,960.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,120.0,Mail Alias,8.0,
134,Rehire Associate Check,11/1/2021,84.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,7.0,Rehire Associate Check,12.0,1440
135,Pushmail Ticket Deflection,3/1/2020,140.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,20.0,Pushmail Ticket Deflection,7.0,0
136,LDAP POSIX Group,8/1/2021,4620.0,Provisions a POSIX LDAP account as requested via ServiceNow webform,814,Monthly,Monthly,385.0,LDAP POSIX Group,12.0,
137,ServiceNow Lookup module,3/1/2020,132.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
138,Google Team Drive,11/1/2020,75.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,5.0,Google Team Drive,15.0,0
139,RHEL 8 Deployment,5/1/2020,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
140,Google Calendar Creation,8/1/2020,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
141,Mail Alias,9/1/2021,1216.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,152.0,Mail Alias,8.0,
142,GWS' Weekly Email Reminders,3/1/2020,68.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
143,global_wifi,10/1/2020,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
144,Rehire Associate Check,7/1/2021,144.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,12.0,Rehire Associate Check,12.0,1440
145,global_wifi,6/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
146,DBA - Redshift Account Deployment,12/1/2020,322.5,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,43.0,DBA - Redshift Account Deployment,7.5,0
147,Tableau API Token Refresher,3/1/2021,35.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,5.0,Tableau API Token Refresher,7.0,3240
148,Email Alias Termination,10/1/2020,924.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
149,RHEL 8 Deployment,3/1/2020,810.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
150,MPaaS+ Migration Support,12/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
151,Mailing Lists,12/1/2021,3480.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,174.0,Mailing Lists,20.0,
152,NGDC Service Catalog Item,2/1/2020,0.0,NextGen Data Center ServiceNow webform and workflow with RESTful API Ansible Tower call,13,,Daily,0.0,,0.0,
153,GWS' Weekly Email Reminders,9/1/2021,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
154,Windows AD Account Mgmt,11/1/2020,0.0,"Creates Windows AD account, and adds permissions",WIP,TBD,TBD,0.0,Windows AD Account Mgmt,0.0,0
155,Google Alias,7/1/2020,0.0,Creation of Google aliases (used for associate personal aliases),72.4,,monthly,0.0,,0.0,
156,Tableau LDAP,7/1/2020,12760.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,1595.0,Tableau LDAP,8.0,0
157,RHEL 8 Deployment,7/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
158,Bulk Email Alias Deletions,3/1/2021,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
159,Google Team Drive,10/1/2021,345.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,23.0,Google Team Drive,15.0,0
160,ggroupMembership,8/1/2020,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
161,global_wifi,9/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
162,LDAP lookup module,9/1/2020,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
163,Bulk Email Alias Deletions,2/1/2020,0.0,Bulk deletion of email aliases for managers with multiple departed reportees,WIP,TBD,TBD,0.0,Bulk Email Alias Deletions,0.0,
164,IT Hire Check,8/1/2020,0.0,Emails IT S&E content to new IT hires,64.5,,Daily,0.0,IT Hire Check,5.0,0
165,RingCentral User Termination,8/1/2020,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
166,Rehire Associate Check,12/1/2020,120.0,Identifies re-hired associates; reactivates BlueJeans accounts to avoid manually reacting,28.8,daily,daily,10.0,Rehire Associate Check,12.0,1440
167,Mailing Lists,7/1/2021,3400.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,170.0,Mailing Lists,20.0,
168,LDAP Service Group,9/1/2020,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
169,ServiceNow Lookup module,8/1/2021,0.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
170,ggroupMembership,5/1/2021,0.0,"App to assist GES engineers with an SME only task, querying Google Group membership",9.6,,monthly,0.0,ggroupmembership,0.0,
171,global_wifi,4/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
172,LDAP-Rover Syncs,6/1/2021,0.0,"Syncs some IT LDAP groups to Rover. Prevents manual search, copy/paste across many groups",0,daily,,0.0,,0.0,
173,global_wifi,3/1/2021,0.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,0.0,global_wifi,10.0,0
174,MPaaS+ Migration Support,10/1/2020,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
175,ServiceNow Lookup module,2/1/2021,0.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
176,LDAP lookup module,1/1/2021,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
177,RingCentral User Deployment,11/1/2021,650.0,Deploys new office user to RingCentral telephony platform at associate on-boarding,17.5833,TBD,Monthly,130.0,RingCentral User Deployment,5.0,6660
178,IT Manager Check,2/1/2020,0.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,0.0,IT Manager Check,5.0,0
179,global_wifi,9/1/2020,210.0,"Script created to update global wifi password for all RH offices, every 6 months",0,Monthly,Monthly,21.0,global_wifi,10.0,0
180,Mail Alias,11/1/2021,1016.0,Automated provisioning of a mail alias (if available) as requested via ServiceNow webform,188.13,Monthly,Monthly,127.0,Mail Alias,8.0,
181,Google Team Drive,6/1/2020,390.0,Scripted creation of Google Team Drive requests (trequested by ServiceNow webform submission),89.25,Monthly,Monthly,26.0,Google Team Drive,15.0,0
182,NHO Prep Tasks,12/1/2020,0.0,Expedites the preparation phase for GES NHO tasks,WIP,TBD,TBD,0.0,,0.0,
183,Support Chat Notification Bot,4/1/2020,278.5,Notifies Support in Google Hangouts Chat that a Support Chat customer is waiting,32.33,Weekly,Weekly,557.0,Support Chat Notification Bot,0.5,0
184,Autolist KB Daily Update,10/1/2021,0.0,Updates the ServiceNow KnowledgeBase daily to populate a list of automated Mailing Lists,blocked,TBD,TBD,0.0,Autolist KB Daily Update,0.0,
185,Pushmail Ticket Deflection,3/1/2021,91.0,deflection of non-actionable pushmail certificate requests submitted to IT Support triage,19.6,Monthly,Monthly,13.0,Pushmail Ticket Deflection,7.0,0
186,RingCentral User Termination,6/1/2021,0.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
187,LDAP lookup module,10/1/2020,0.0,Reusable code for automation toolbelt - adds ability to query LDAP source data.,0,Monthly,,0.0,,0.0,
188,RingCentral User Termination,9/1/2021,30.0,Terminates office user in RingCentral telephony platform at associate departure,WIP,TBD,TBD,0.0,,0.0,
189,GWS' Weekly Email Reminders,7/1/2021,0.0,sends scheduled email reminders for GWS (fridge cleanout and snack time),0,Monthly,Monthly,0.0,,0.0,
190,RHEL 8 Deployment,3/1/2021,0.0,Automated the deployment of RHEL 8 upgrades for all GES Engineers,49.5,Monthly,,0.0,,0.0,
191,Google Calendar Creation,2/1/2021,0.0,Automation of approved Google Calendar requests via ServiceNow form,WIP,TBD,TBD,0.0,Google Calendar Creation,0.0,
192,Google Group Management,5/1/2021,0.0,Creation and modification of Google groups (used for associate accounts and mailing lists),WIP,TBD,,0.0,,0.0,
193,LDAP Service Group,12/1/2020,0.0,Deprecated form/workflow; See J19 - Tableau ServiceGroups values,0,Monthly,,0.0,,0.0,
194,GSS Salesforce Account Create,1/1/2021,0.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,0.0,GSS Salesforce Account Create,25.0,0
195,IT Manager Check,1/1/2021,10.0,Emails IT S&E content to new IT Manager hires,5.3,,Daily,2.0,IT Manager Check,5.0,0
196,DBA - Redshift Account Deployment,10/1/2020,375.0,Automation of database account requests for the AWS Redshift Database,153,Monthly,Monthly,50.0,DBA - Redshift Account Deployment,7.5,0
197,ALGE,10/1/2020,0.0,Automated LDAP GES engineer group additions at onboard,6,,monthly,0.0,ALGE,30.0,
198,Tableau LDAP,12/1/2020,4448.0,Creates and permissions Tableau users upon request,1475,Monthly,Monthly,556.0,Tableau LDAP,8.0,0
199,Email Alias Termination,5/1/2021,252.0,"Terminates the email alias for departed users not in France, Italy, Germany, or Switzerland",146.33,Monthly,Monthly,0.0,,0.0,
200,GSS Salesforce Account Create,8/1/2021,50.0,"Scripted Account creation for Salesforce accounts (only for GSS eligible cost centers, like CEE)",13.75,Daily,Daily,2.0,GSS Salesforce Account Create,25.0,0
201,Tableau ServiceGroups,12/1/2021,568.0,Applies LDAP servicegroup for BI Data Virt access (for IT-Operations' tickets),161.6,Monthly,Monthly,71.0,Tableau ServiceGroups,8.0,0
202,ServiceNow Lookup module,5/1/2020,144.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
203,Tableau API Token Refresher,7/1/2021,28.0,Refreshes Tableau API access token to prevent lockout,9.22,Monthly,Monthly,4.0,Tableau API Token Refresher,7.0,3240
204,ServiceNow Lookup module,7/1/2021,0.0,Ability to automatically pull Service-Now data and interact with Service-now tasks / processes.,16.6,Monthly,,0.0,,0.0,
205,MPaaS+ Migration Support,12/1/2021,0.0,Citizen Developed ServiceNow form and workflow for MPaaS+ migrations,6.27,,Monthly,0.0,,0.0,
206,Mailing Lists,11/1/2020,2960.0,Automatically provisions a mailing list as requested via ServiceNow webform,783.67,Monthly,Monthly,148.0,Mailing Lists,20.0,
